year	project	student	mentors
2017	GPU accelerated comparative phylogenetic analysis with uncertainty	Evandro Taquary	Erin Hodgess, Thiago Rangel
2017	Improved functionality for higher order comoment estimation in PerformanceAnalytics	cdries	Brian G. Peterson, Kris Boudt 
2017	Integrated Oversampling for Sequence Classification (IOSC)	lwei	Matthew Dixon, Diego Klabjan 
2017	MSGARCH	Leopoldo Catania	David Ardia, Kris Boudt, Brian G. Peterson 
2017	Sentometrics	Samuel Borms	Kris Boudt, David Ardia,Keven Bluteau 
2017	Animated interactive plots (animint)	Faizan Khan	Toby Dylan Hocking, Carson Sievert 
2017	Speed optimizations for iregnet	Rover Van	Toby Dylan Hocking, Anuj Khare 
2017	Rperform: Performance analysis and visualization for R	Devinder Kaur	Akash Tandon, Joshua Ulrich 
2017	Sparse matrix automatic conversion in RcppArmadillo	Binxiang Ni	Qiang Kou and Dirk Eddelbuettel
2017	bigPint: Big multivariate data plotted interactively	Lindsay Rutter	Dianne Cook, Roxane Legaie 
2017	Constrained Hierarchical Agglomerative Clustering	Shubham Chaturvedi	N Villa-Vialaneix, P Neuvial
2017	Interactive Genome Browser in R	Marlin	Toby Dylan Hocking, Miguel Pignatelli
2017	sugrrants: Visual methods for big temporal data	Earo Wang	Dianne Cook, Rob Hyndman 
2017	Operator Based Machine Learning Pipeline Construction	mb706	Bernd Bischl, Lars Kotthoff
2017	Integrating biodiversity data curation functionality	Thiloshon Nagarajah	Tomer Gueta, Yohay Carmel, Vijay Barve 
2017	Biodiversity data cleaning	Ashwin Agrawal	Vijay Barve, Yohay Carmel, Tomer Gueta
2017	nimbleEcology package: ecological statistics driven by NIMBLE	Coin Lewis-Beck	Perry de Valpine, Daniel Turek
2017	Graphical Models for Mixed Multi Modal Data	Xia Zhang	Genevera Allen, Zhandong Liu, Michael Weylandt 
2017	Distributional Assessments with Q-Q plots	Alexandre Almeida	Heike Hofmann, Adam Loy 
2017	metawRite: Meta analysis update package, LSR (Living systematic review).	Natalia da Silva	Heike Hofmann, Annette O’Connor 
2017	FireData: Connecting R to Google Firebase	Robin Kohze	S Schmidt, L. Pedraza
2017	control: Control Systems toolbox	Ben Ubah	Marijan Kostrun, Hans W Borchers
2017	keRas For Deep Convolutional Neural Networks	Wazeer Zulfikar	Krishna Sankar
2017	Interactive trajectory tool in rpostgisLT	Balázs Dukai	Mathieu Basille, David Bucklin, Clement Calenge
2017	Risk and Performance Standard Errors for Serially Correlated Returns	Xin Chen	Doug Martin, Aleksandr Aravkin, Daniel Hanson, Brian G. Peterson
2017	The markovchain package	Vandit Jain	SB Yalamanchi, G Spedicato
2017	Extending the RcppSMC Package	Leah Price	Dirk Eddelbuettel and Adam Johansen
2017	Portfolio Construction and Risk Management with Unequal Returns Histories	Pushpak Sarkar	Yindeng Jiang, Doug Martin, Peter Carl
2017	Parser for Biodiversity checklists	Qingyue Xue	Vijay Barve, Rohit George, Thomas V., Narayani Barve
2017	Noninvasive source code formatting	Lorenz Walthert	Kirill Müller, Yihui Xie 
2017	Estimating the empirical Cluster Tree	Matthew Piekenbrock	Michael Hahsler, Mikhail Belkin 
2017	advancing factorAnalytics	Chindhanai Uthaisaad	Eric Zivot, Doug Martin, Kjell Konis, Thomas Philips, Brian G. Peterson
2017	Bayesian Hierarchical Models in Finance	Luis Antonio Damiano	Brian G. Peterson , Michael Weylandt 
2017	Efficient Second order Optimization Solvers for Sparse Learning in R	Jason Ge	tourzhao and xingguo
2017 Stochastic variational inference Zhehui Chen tourzhao and xingguo
